dataset,reference,id,group,q,route,policy_correct,reference_correct,policy_answer,reference_answer,policy_valid,reference_valid,policy_ms,reference_ms,latency_diff_policy_minus_reference_ms,net_saving_ms,accuracy_diff,policy_U,reference_U,delta_U,old_policy_ms,old_action_ms,old_probe_selector_ms,old_reference_ms,old_net_saving_ms,online_probe_selector_ms,policy_action_ms,policy_other_ms,reference_action_ms,reference_other_ms,reference_shift_ms,selected_action_shift_ms,online_control_shift_ms,saving_minus_component_ms,policy_historical_parsed_match,reference_historical_parsed_match,policy_historical_raw_match,reference_historical_raw_match,cold_first_request,policy_record_key,reference_record_key
obqa,T,9-782,9-782,0.8,R,1,1,A,A,True,True,3384.2922288458794,1083.6443630978465,2300.647865748033,-2300.647865748033,0,0.8658909240609203,0.9570585119857677,-0.09116758792484746,290.39693787558343,246.414073,43.98286487558341,995.727098,705.3301601244166,2656.306929886341,727.1277799736708,0.8575189858675003,1083.4851341787726,0.15922891907393932,87.91726509784655,480.7137069736708,2613.1815839966252,-3005.9780258724495,True,True,True,True,True,obqa|9-782|policy_T,obqa|9-782|reference_T
obqa,T,14-290,14-290,0.8,R,0,1,D,A,True,True,229.11863401532173,905.4392529651523,-676.3206189498305,676.3206189498305,-1,-0.00907926568111335,0.9641202315511811,-0.9731994972322945,287.9029700962472,244.139688,43.763282096247195,1118.558758,830.6557879037528,32.657617004588246,196.3438279926777,0.11718901805579662,905.3153810091317,0.12387195602059364,-213.11950503484763,-47.79586000732232,-10.988476073603152,-154.33516895392222,True,True,True,True,False,obqa|14-290|policy_T,obqa|14-290|reference_T
obqa,T,13-823,13-823,0.8,R,1,1,D,D,True,True,229.7715600579977,999.4679668452591,-769.6964067872614,769.6964067872614,0,0.9908948608711112,0.960394163269394,0.03050069760171719,291.6692830519309,245.993748,45.67553505193091,1238.429024,946.7597409480691,32.50161511823535,197.15307606384158,0.11686887592077255,999.3498651310802,0.11810171417891979,-238.96105715474096,-48.84067193615843,-13.057051057774785,-177.0633341608077,True,True,True,True,False,obqa|13-823|policy_T,obqa|13-823|reference_T
obqa,T,12-745,12-745,0.8,R,1,1,D,D,True,True,229.51765288598835,786.0806849785149,-556.5630320925266,556.5630320925266,0,0.9909049224301936,0.968850043924257,0.02205487850593656,290.7805227025466,246.266442,44.51408070254659,973.060621,682.2800982974534,32.343578059226274,197.05431093461812,0.11976389214396477,785.9664009884,0.11428399011492729,-186.97993602148506,-49.2121310653819,-12.050738751176354,-125.71706620492682,True,True,True,True,False,obqa|12-745|policy_T,obqa|12-745|reference_T
obqa,T,14-245,14-245,0.8,R,1,1,D,D,True,True,229.23418111167848,975.3754930570722,-746.1413119453937,746.1413119453937,0,0.9909161555433933,0.9613488737903357,0.029567281753057593,290.14903996266236,245.987717,44.16132296266234,1209.441847,919.2928070373378,32.65343909151852,196.4625210966915,0.11822092346847057,975.25889496319,0.1165980938822031,-234.0663539429279,-49.525195903308514,-11.389662947675347,-173.15149509194407,True,True,True,True,False,obqa|14-245|policy_T,obqa|14-245|reference_T
obqa,T,12-721,12-721,0.8,R,1,1,A,A,True,True,229.26622186787426,759.975756984204,-530.7095351163298,530.7095351163298,0,0.9909148858669247,0.9698845018061543,0.02103038406077042,290.67585608799556,245.693,44.98285608799553,944.11333,653.4374739120044,32.52970799803734,196.6146151535213,0.1218987163156271,759.8586280364543,0.11712894774973392,-184.13757301579597,-49.07838484647871,-12.331249373642564,-122.72793879567462,True,True,True,True,False,obqa|12-721|policy_T,obqa|12-721|reference_T
obqa,T,11-642,11-642,0.8,R,1,1,A,A,True,True,229.3824900407344,586.1777721438557,-356.7952821031213,356.7952821031213,0,0.9909102785173907,0.9767715805720922,0.014138697945298486,287.90624001455177,246.358607,41.54763301455176,722.763438,434.8571979854482,32.06856199540198,197.19836092554033,0.11556711979210377,586.0602420289069,0.11753011494874954,-136.58566585614426,-49.16024607445968,-9.363503899357674,-78.0619158823269,True,True,True,True,False,obqa|11-642|policy_T,obqa|11-642|reference_T
obqa,T,12-577,12-577,0.8,R,1,1,C,C,True,True,261.70233194716275,888.5802959557623,-626.8779640085995,626.8779640085995,0,0.9896295427417906,0.9647883000845527,0.024841242657237892,331.821064079293,289.935813,41.88525107929301,1091.473068,759.652003920707,32.082558143883944,229.50147301889956,0.11830078437924385,888.4627050720155,0.1175908837467432,-202.89277204423774,-60.434339981100436,-9.684392151029826,-132.77403991210747,True,True,True,True,False,obqa|12-577|policy_T,obqa|12-577|reference_T
obqa,T,14-1215,14-1215,0.8,T,1,1,A,A,True,True,855.5990620516241,824.8511559795588,30.747906072065234,-30.747906072065234,0,0.9660952447876474,0.9673136895883768,-0.0012184448007294332,1063.8094962825921,1019.654785,44.154711282592174,1019.654785,-44.15471128259219,32.94884297065437,822.5350421853364,0.11517689563333988,824.7352091129869,0.11594686657190323,-194.80362902044112,-197.1197428146636,-11.090691416304466,13.406805210526954,True,True,True,True,False,obqa|14-1215|policy_T,obqa|14-1215|reference_T
obqa,T,12-488,12-488,0.8,R,1,1,C,C,True,True,229.74373819306493,673.07686409913,-443.3331259060651,443.3331259060651,0,0.9908959633659151,0.9733280372448538,0.01756792612106124,289.30705521946453,247.214112,42.09294321946454,827.128418,537.8213627805355,32.30873215943575,197.31797487474978,0.1170311588793993,672.9624101426452,0.11445395648479462,-154.05155390086998,-49.89613712525022,-9.667179901149389,-94.48823687447043,True,True,True,True,False,obqa|12-488|policy_T,obqa|12-488|reference_T
