task,id,panel_ordinal,route,q,threshold,fixed_C2C_ms,policy_ms,saving_ms,gold,fixed_C2C_answer,policy_answer,fixed_C2C_correct,policy_correct,accuracy_difference,fixed_C2C_invalid,policy_invalid,online_probe_ms,selector_ms,probe_selector_ms,first_formal_request_pair,fixed_record_key,policy_record_key
obqa,9-782,0,C,0.55,1.3113021850585938e-06,665.9140081610531,327.6375699788332,338.27643818221986,A,A,A,1,1,0,False,False,57.68305202946067,0.0007220078259706497,57.68377403728664,True,obqa|9-782|fixed_C,obqa|9-782|policy_C
obqa,14-290,1,R,0.55,1.3113021850585938e-06,341.1743149627,201.5549319330603,139.61938302963972,A,A,A,1,1,0,False,False,26.261796010658145,0.0004009343683719635,26.262196945026517,False,obqa|14-290|fixed_C,obqa|14-290|policy_C
obqa,13-823,2,C,0.55,1.3113021850585938e-06,271.79471985436976,291.02301178500056,-19.228291930630803,D,D,D,1,1,0,False,False,26.015133131295443,0.00035087577998638153,26.01548400707543,False,obqa|13-823|fixed_C,obqa|13-823|policy_C
obqa,12-745,3,C,0.55,1.3113021850585938e-06,267.0445891562849,294.2086181137711,-27.164028957486153,D,A,A,0,0,0,False,False,26.43850794993341,0.0003611203283071518,26.438869070261717,False,obqa|12-745|fixed_C,obqa|12-745|policy_C
obqa,14-245,4,C,0.55,1.3113021850585938e-06,265.2080541010946,290.7592181582004,-25.55116405710578,D,D,D,1,1,0,False,False,26.092639192938805,0.0003809109330177307,26.093020103871822,False,obqa|14-245|fixed_C,obqa|14-245|policy_C
obqa,12-721,5,C,0.55,1.3113021850585938e-06,264.92462190799415,290.9145480953157,-25.989926187321544,A,A,A,1,1,0,False,False,26.0545969940722,0.0003909226506948471,26.054987916722894,False,obqa|12-721|fixed_C,obqa|12-721|policy_C
obqa,11-642,6,C,0.55,1.3113021850585938e-06,266.91888296045363,292.3290221951902,-25.41013923473656,A,A,A,1,1,0,False,False,26.274689938873053,0.0003611203283071518,26.27505105920136,False,obqa|11-642|fixed_C,obqa|11-642|policy_C
obqa,12-577,7,C,0.55,1.3113021850585938e-06,340.6746869441122,367.24549415521324,-26.570807211101055,C,INVALID,INVALID,0,0,0,True,True,26.2862928211689,0.0003811437636613846,26.28667396493256,False,obqa|12-577|fixed_C,obqa|12-577|policy_C
obqa,14-1215,8,R,0.55,1.3113021850585938e-06,315.4251300729811,200.33580507151783,115.0893250014633,A,A,A,1,1,0,False,False,26.142864022403955,0.00035995617508888245,26.143223978579044,False,obqa|14-1215|fixed_C,obqa|14-1215|policy_C
obqa,12-488,9,R,0.55,1.3113021850585938e-06,267.20461901277304,202.25168904289603,64.952929969877,C,C,C,1,1,0,False,False,26.25385206192732,0.0004009343683719635,26.25425299629569,False,obqa|12-488|fixed_C,obqa|12-488|policy_C
