reference,id,panel_ordinal,group_hash,category,K,route,q,threshold,fixed_ms,policy_ms,saving_ms,fixed_correct,policy_correct,accuracy_difference,fixed_answer,policy_answer,gold,fixed_invalid,policy_invalid,online_probe_ms,selector_ms,first_formal_request_in_pair,fixed_key,policy_key
Text,test:3074,0,ad23be1e8a17387e82872a437640dbfa3e8992404f6a8e8a3c5436aa1336c461,biology,10,T,0.4,3.838539123535156e-05,1622.4249950610101,1249.5278399437666,372.8971551172435,0,0,0,H,H,A,False,False,68.18135501816869,0.0005010515451431274,True,mmlu_pro|test:3074|fixed_T,mmlu_pro|test:3074|policy_T
Text,test:3502,1,23b909928d8c9c8e2451fb75a7c5b8ab70c6c24e32359d901196e202552c8212,biology,10,R,0.4,3.838539123535156e-05,816.2499519530684,251.55758392065763,564.6923680324107,1,1,0,D,D,D,False,False,45.28125189244747,0.00030105002224445343,False,mmlu_pro|test:3502|fixed_T,mmlu_pro|test:3502|policy_T
Text,test:3459,2,96454f3d066395ec82f04043235e3b8c3ebfc77629d90bf0b9b40c0a99ab411f,biology,10,R,0.4,3.838539123535156e-05,1316.2689129821956,263.47642997279763,1052.792483009398,1,1,0,D,D,D,False,False,51.08628002926707,0.0002898741513490677,False,mmlu_pro|test:3459|fixed_T,mmlu_pro|test:3459|policy_T
Text,test:2955,3,6c32b8fc57811ff1a13d49406dbc8d3d0fc95c3300417e21af4f9a01bf4c3651,biology,10,R,0.4,3.838539123535156e-05,1012.807565042749,249.34922205284238,763.4583429899067,1,1,0,G,G,G,False,False,43.05127914994955,0.00027101486921310425,False,mmlu_pro|test:2955|fixed_T,mmlu_pro|test:2955|policy_T
Text,test:3232,4,3f32ee1b0c9f00bf7f5646d47af17cd024d7d66013d98c652443e9f389b2b78e,biology,10,R,0.4,3.838539123535156e-05,1051.901290891692,249.60045400075614,802.3008368909359,1,1,0,G,G,G,False,False,43.270420050248504,0.00022095628082752228,False,mmlu_pro|test:3232|fixed_T,mmlu_pro|test:3232|policy_T
Text,test:3202,5,a90b82f34bf4b9b6e34906a71bdba60435df9e2754b3659d104e225abcbffa44,biology,10,R,0.4,3.838539123535156e-05,1333.0602480564266,231.3374278601259,1101.7228201963007,0,0,0,E,E,J,False,False,34.53865181654692,0.0003210734575986862,False,mmlu_pro|test:3202|fixed_T,mmlu_pro|test:3202|policy_T
Text,test:2979,6,87dfd1f1ce49b2832ca6a150cb13579fe104ba0881648c76bd2a2f42a00f394e,biology,10,R,0.4,3.838539123535156e-05,829.8867789562792,250.6778440438211,579.2089349124581,1,1,0,I,I,I,False,False,43.49149507470429,0.00029103830456733704,False,mmlu_pro|test:2979|fixed_T,mmlu_pro|test:2979|policy_T
Text,test:297,7,ee1a35b77a60d71db8dcc07ad3bf483b8b98d4f49638beaa918325da573eb6b8,business,10,T,0.4,3.838539123535156e-05,757.3527400381863,786.0860549844801,-28.73331494629383,0,0,0,G,G,E,False,False,33.72754203155637,0.0002498272806406021,False,mmlu_pro|test:297|fixed_T,mmlu_pro|test:297|policy_T
Text,test:481,8,50d63723c9bd3083d00774dc0efe0aa664d734e9ed68f26ab1e6680ab1d02ddd,business,10,T,0.4,3.838539123535156e-05,893.2457480113953,925.4519960377365,-32.2062480263412,1,1,0,F,F,F,False,False,34.04996590688825,0.00027101486921310425,False,mmlu_pro|test:481|fixed_T,mmlu_pro|test:481|policy_T
Text,test:673,9,5ac6b01757fb71cb1845e552af126ec711c22f958702dbb71e9abf921af29694,business,10,T,0.4,3.838539123535156e-05,757.9604198690504,791.7311631608754,-33.770743291825056,0,0,0,F,F,H,False,False,33.895126078277826,0.00030011869966983795,False,mmlu_pro|test:673|fixed_T,mmlu_pro|test:673|policy_T
Text,test:205,10,dc8c276d4ae04ce05f71fddd13f91e423939fc0ff9b54dd3e4d3a487274dd566,business,10,T,0.4,3.838539123535156e-05,970.5734378658235,995.9091099444777,-25.33567207865417,0,0,0,J,J,F,False,False,33.97784009575844,0.00031082890927791595,False,mmlu_pro|test:205|fixed_T,mmlu_pro|test:205|policy_T
Text,test:429,11,e890296dddc5df108a8b0469784e18bc3ee45291e05da0fc63b9e9be5cbcf903,business,9,T,0.4,3.838539123535156e-05,1193.808238953352,1232.4198009446263,-38.61156199127436,0,0,0,H,H,A,False,False,43.28164109028876,0.00028102658689022064,False,mmlu_pro|test:429|fixed_T,mmlu_pro|test:429|policy_T
Text,test:413,12,e674aeeb1293ef53503580a963d7510ae92013569cea1a03c61910c6390ef704,business,10,T,0.4,3.838539123535156e-05,910.4112749919295,945.4370008315891,-35.02572583965957,1,1,0,B,B,B,False,False,33.61763502471149,0.0002898741513490677,False,mmlu_pro|test:413|fixed_T,mmlu_pro|test:413|policy_T
Text,test:289,13,6421bd1764b5af2917a0b9f397256dae657e8dfbc61145259f6e5c2f2a006f87,business,10,T,0.4,3.838539123535156e-05,777.2731939330697,819.368049968034,-42.09485603496432,0,0,0,C,C,J,False,False,44.588973047211766,0.00029103830456733704,False,mmlu_pro|test:289|fixed_T,mmlu_pro|test:289|policy_T
