reference,id,key,online_probe_ms,selector_ms,saved_inner_probe_ms,ProbeMax,route,probe_shared
Text,test:3074,mmlu_pro|test:3074|policy_T,80.15819895081222,0.000491039827466011,78.95186892710626,0.06711608171463013,T,False
Text,test:3502,mmlu_pro|test:3502|policy_T,45.13472504913807,0.00033993273973464966,45.002557104453444,0.0,R,False
Text,test:3459,mmlu_pro|test:3459|policy_T,51.003394881263375,0.00029010698199272156,50.861879950389266,8.940696716308594e-07,R,False
Text,test:2955,mmlu_pro|test:2955|policy_T,43.00698800943792,0.00029103830456733704,42.88581199944019,0.0,R,False
Text,test:3232,mmlu_pro|test:3232|policy_T,46.37869819998741,0.0003098975867033005,46.24615889042616,0.0,R,False
Text,test:3202,mmlu_pro|test:3202|policy_T,34.540310967713594,0.00030105002224445343,34.421238116919994,2.384185791015625e-07,R,False
Text,test:2979,mmlu_pro|test:2979|policy_T,54.36072591692209,0.0004009343683719635,54.2304920963943,0.0,R,False
Text,test:297,mmlu_pro|test:297|policy_T,34.07666296698153,0.0002798624336719513,33.95732888020575,0.004070103168487549,T,False
Text,test:481,mmlu_pro|test:481|policy_T,40.85547709837556,0.00029010698199272156,40.72347888723016,0.21153700351715088,T,False
Text,test:673,mmlu_pro|test:673|policy_T,34.29472213611007,0.00035995617508888245,34.17662996798754,0.33292800188064575,T,False
Text,test:205,mmlu_pro|test:205|policy_T,42.04384284093976,0.0003110617399215698,41.90884996205568,0.00021535158157348633,T,False
Text,test:429,mmlu_pro|test:429|policy_T,43.410595040768385,0.00030081719160079956,43.28333609737456,0.5266059041023254,T,False
Text,test:413,mmlu_pro|test:413|policy_T,33.53070002049208,0.00036996789276599884,33.41024392284453,0.42420244216918945,T,False
Text,test:289,mmlu_pro|test:289|policy_T,44.48410589247942,0.000341096892952919,44.36339996755123,0.3321601152420044,T,False
Text,test:770,mmlu_pro|test:770|policy_T,34.17483693920076,0.00028009526431560516,34.05295801348984,0.3296963572502136,T,False
Text,test:402,mmlu_pro|test:402|policy_T,52.14340100064874,0.0003210734575986862,52.00611404143274,0.011001288890838623,T,False
Text,test:4181,mmlu_pro|test:4181|policy_T,43.931842083111405,0.00032084062695503235,43.80567604675889,3.993511199951172e-06,R,False
Text,test:3885,mmlu_pro|test:3885|policy_T,63.940680120140314,0.00031082890927791595,63.79538797773421,0.3478459119796753,T,False
Text,test:3996,mmlu_pro|test:3996|policy_T,55.04956794902682,0.0003608874976634979,54.90639014169574,0.07979828119277954,T,False
Text,test:4133,mmlu_pro|test:4133|policy_T,38.51827699691057,0.00028009526431560516,38.377092918381095,1.7881393432617188e-06,R,False
Text,test:4665,mmlu_pro|test:4665|policy_T,40.839246939867735,0.00029010698199272156,40.70873209275305,0.40429985523223877,T,False
Text,test:4076,mmlu_pro|test:4076|policy_T,38.65518397651613,0.00030011869966983795,38.518677931278944,2.9206275939941406e-06,R,False
Text,test:4073,mmlu_pro|test:4073|policy_T,49.57982315681875,0.00031990930438041687,49.442465882748365,0.004072725772857666,T,False
Text,test:4334,mmlu_pro|test:4334|policy_T,37.3601159080863,0.00026100315153598785,37.21299092285335,0.0,R,False
Text,test:3783,mmlu_pro|test:3783|policy_T,56.20305915363133,0.00025099143385887146,56.060612900182605,0.00013315677642822266,T,False
Text,test:3934,mmlu_pro|test:3934|policy_T,44.100929982960224,0.00031013041734695435,43.975464068353176,0.037475407123565674,T,False
