item,check,expected,observed,status,source
a,large/OBQA/Text: largest accepted candidate = frozen q,0.8,0.8,PASS,recomputed: E17.ledger on E17.load cal split
a,"large/OBQA/Text: 20 calibration rows (q, n, k) = stored ledger","[[0.05, 642, 1], [0.1, 642, 1], [0.15, 642, 1], [0.2, 642, 1], [0.25, 642, 1], [0.3, 642, 1], [0.35, 642, 1], [0.4, 642, 1], [0.45, 642, 1], [0.5, 683, 1], [0.55, 728, 1], [0.6, 807, 2], [0.65, 870, 4], [0.7, 932, 8], [0.75, 999, 12], [0.8, 1064, 18], [0.85, 1135, 42], [0.9, 1217, 67], [0.95, 1297, 102], [1.0, 1366, 143]]","[[0.05, 642, 1], [0.1, 642, 1], [0.15, 642, 1], [0.2, 642, 1], [0.25, 642, 1], [0.3, 642, 1], [0.35, 642, 1], [0.4, 642, 1], [0.45, 642, 1], [0.5, 683, 1], [0.55, 728, 1], [0.6, 807, 2], [0.65, 870, 4], [0.7, 932, 8], [0.75, 999, 12], [0.8, 1064, 18], [0.85, 1135, 42], [0.9, 1217, 67], [0.95, 1297, 102], [1.0, 1366, 143]]",PASS,$DATA_DIR/P2_CONFIDENCE_REFERENCE_BOUNDARIES_20260914T165012Z/summary/calibration_all_160.csv
a,large/OBQA/C2C: largest accepted candidate = frozen q,0.8,0.8,PASS,recomputed: E17.ledger on E17.load cal split
a,"large/OBQA/C2C: 20 calibration rows (q, n, k) = stored ledger","[[0.05, 642, 2], [0.1, 642, 2], [0.15, 642, 2], [0.2, 642, 2], [0.25, 642, 2], [0.3, 642, 2], [0.35, 642, 2], [0.4, 642, 2], [0.45, 642, 2], [0.5, 683, 2], [0.55, 728, 3], [0.6, 807, 4], [0.65, 870, 4], [0.7, 932, 8], [0.75, 999, 13], [0.8, 1064, 22], [0.85, 1135, 37], [0.9, 1217, 64], [0.95, 1297, 90], [1.0, 1366, 127]]","[[0.05, 642, 2], [0.1, 642, 2], [0.15, 642, 2], [0.2, 642, 2], [0.25, 642, 2], [0.3, 642, 2], [0.35, 642, 2], [0.4, 642, 2], [0.45, 642, 2], [0.5, 683, 2], [0.55, 728, 3], [0.6, 807, 4], [0.65, 870, 4], [0.7, 932, 8], [0.75, 999, 13], [0.8, 1064, 22], [0.85, 1135, 37], [0.9, 1217, 64], [0.95, 1297, 90], [1.0, 1366, 127]]",PASS,$DATA_DIR/P2_CONFIDENCE_REFERENCE_BOUNDARIES_20260914T165012Z/summary/calibration_all_160.csv
a,large/ARC/Text: largest accepted candidate = frozen q,0.95,0.95,PASS,recomputed: E17.ledger on E17.load cal split
a,"large/ARC/Text: 20 calibration rows (q, n, k) = stored ledger","[[0.05, 321, 0], [0.1, 321, 0], [0.15, 321, 0], [0.2, 321, 0], [0.25, 321, 0], [0.3, 321, 0], [0.35, 321, 0], [0.4, 321, 0], [0.45, 321, 0], [0.5, 321, 0], [0.55, 321, 0], [0.6, 321, 0], [0.65, 321, 0], [0.7, 321, 0], [0.75, 338, 0], [0.8, 359, 0], [0.85, 385, 1], [0.9, 404, 3], [0.95, 422, 4], [1.0, 448, 12]]","[[0.05, 321, 0], [0.1, 321, 0], [0.15, 321, 0], [0.2, 321, 0], [0.25, 321, 0], [0.3, 321, 0], [0.35, 321, 0], [0.4, 321, 0], [0.45, 321, 0], [0.5, 321, 0], [0.55, 321, 0], [0.6, 321, 0], [0.65, 321, 0], [0.7, 321, 0], [0.75, 338, 0], [0.8, 359, 0], [0.85, 385, 1], [0.9, 404, 3], [0.95, 422, 4], [1.0, 448, 12]]",PASS,$DATA_DIR/P2_CONFIDENCE_REFERENCE_BOUNDARIES_20260914T165012Z/summary/calibration_all_160.csv
a,large/ARC/C2C: largest accepted candidate = frozen q,0.9,0.9,PASS,recomputed: E17.ledger on E17.load cal split
a,"large/ARC/C2C: 20 calibration rows (q, n, k) = stored ledger","[[0.05, 321, 2], [0.1, 321, 2], [0.15, 321, 2], [0.2, 321, 2], [0.25, 321, 2], [0.3, 321, 2], [0.35, 321, 2], [0.4, 321, 2], [0.45, 321, 2], [0.5, 321, 2], [0.55, 321, 2], [0.6, 321, 2], [0.65, 321, 2], [0.7, 321, 2], [0.75, 338, 2], [0.8, 359, 2], [0.85, 385, 3], [0.9, 404, 7], [0.95, 422, 11], [1.0, 448, 21]]","[[0.05, 321, 2], [0.1, 321, 2], [0.15, 321, 2], [0.2, 321, 2], [0.25, 321, 2], [0.3, 321, 2], [0.35, 321, 2], [0.4, 321, 2], [0.45, 321, 2], [0.5, 321, 2], [0.55, 321, 2], [0.6, 321, 2], [0.65, 321, 2], [0.7, 321, 2], [0.75, 338, 2], [0.8, 359, 2], [0.85, 385, 3], [0.9, 404, 7], [0.95, 422, 11], [1.0, 448, 21]]",PASS,$DATA_DIR/P2_CONFIDENCE_REFERENCE_BOUNDARIES_20260914T165012Z/summary/calibration_all_160.csv
a,large/MMLU-Pro/Text: largest accepted candidate = frozen q,0.4,0.4,PASS,recomputed: E17.ledger on E17.load cal split
a,"large/MMLU-Pro/Text: 20 calibration rows (q, n, k) = stored ledger","[[0.05, 1442, 14], [0.1, 1442, 14], [0.15, 1442, 14], [0.2, 1442, 14], [0.25, 1542, 17], [0.3, 1817, 26], [0.35, 2105, 43], [0.4, 2358, 67], [0.45, 2654, 105], [0.5, 2948, 153], [0.55, 3269, 203], [0.6, 3568, 276], [0.65, 3868, 361], [0.7, 4154, 452], [0.75, 4457, 556], [0.8, 4730, 660], [0.85, 5023, 778], [0.9, 5378, 940], [0.95, 5703, 1119], [1.0, 6000, 1295]]","[[0.05, 1442, 14], [0.1, 1442, 14], [0.15, 1442, 14], [0.2, 1442, 14], [0.25, 1542, 17], [0.3, 1817, 26], [0.35, 2105, 43], [0.4, 2358, 67], [0.45, 2654, 105], [0.5, 2948, 153], [0.55, 3269, 203], [0.6, 3568, 276], [0.65, 3868, 361], [0.7, 4154, 452], [0.75, 4457, 556], [0.8, 4730, 660], [0.85, 5023, 778], [0.9, 5378, 940], [0.95, 5703, 1119], [1.0, 6000, 1295]]",PASS,$DATA_DIR/P2_MMLU_PRO_BREADTH_STAGE1_20260916T002337Z/calibration/40_test_ledger.csv
