task,id,route,ProbeMax,threshold,outer_online_probe_ms,selector_ms,saved_native_probe_inner_ms,probe_ids_sha256,argmax_probe_label,probe_argmax_used_as_R_answer,cache_reused
obqa,9-782,C,7.62939453125e-06,1.3113021850585938e-06,475.7676220033318,0.0008810311555862427,473.4772830270231,336fc2777d1ad2ca9e7fa8f92c2c3f134009587a23fc74aac49ff934ce55fc57,A,False,False
obqa,14-290,R,2.384185791015625e-07,1.3113021850585938e-06,33.24796189554036,0.0004109460860490799,33.112565986812115,14bae40cee70e144cb58af70b3691d0fbadb66f37da33bc3dd115651cdd103a1,A,False,False
obqa,13-823,C,0.029356718063354492,1.3113021850585938e-06,33.51247310638428,0.0004409812390804291,33.34704111330211,d68675312044e7ea0ab2a0745e520c6b2d500c93cc7abe34bbedd226093ca7dd,A,False,False
obqa,12-745,C,0.3775407075881958,1.3113021850585938e-06,33.993314020335674,0.00048102810978889465,33.846507081761956,237867ad71f87d8638ee2efc5a187e3f876b38a03ce7d462eac08e07cf685492,A,False,False
obqa,14-245,C,0.0019267797470092773,1.3113021850585938e-06,33.08281977660954,0.00045122578740119934,32.937404001131654,d922b51e033348cb8f3c64f778f08d49957c5b11c814a4bf3c125a0b804d8a4e,D,False,False
obqa,12-721,C,0.00043088197708129883,1.3113021850585938e-06,33.0936701502651,0.00047101639211177826,32.95183088630438,904a803ce2fd71ea4712092ed07333e581632ba44fde613704ae5eaebf3df9ca,A,False,False
obqa,11-642,C,0.16483378410339355,1.3113021850585938e-06,33.470184076577425,0.0004409812390804291,33.32240297459066,70778a62cd79ed0fa6d404ece22366253637f9af83ec942cde54a1b89f8af9eb,A,False,False
obqa,12-577,C,0.32094210386276245,1.3113021850585938e-06,33.60174293629825,0.0004200264811515808,33.45598699524999,94f171054877648550c5bd6523ff0fbbe66c5a04b0b346da3c21c1aa1e496986,D,False,False
obqa,14-1215,R,0.0,1.3113021850585938e-06,33.21698307991028,0.0004209578037261963,33.08103606104851,f50af63f7ab90297f517538bad4ea33742389514dbbfe536339d087009af1e08,A,False,False
obqa,12-488,R,0.0,1.3113021850585938e-06,33.756155986338854,0.0004100147634744644,33.61644106917083,d981f1913f917986a7948a41633ee69ba6b32535c82db2ac8d93538368707e0f,C,False,False
obqa,9-892,C,0.18243980407714844,1.3113021850585938e-06,33.121092012152076,0.0004300381988286972,32.98517502844334,c1c822b92bfeb03a1ef3e14b6eaa4b6f3568254a4a7e4295c1c6759ff42a52c1,C,False,False
obqa,1683,R,0.0,1.3113021850585938e-06,33.27247896231711,0.00037997961044311523,33.13743299804628,6cca0da97c8ba2cc0cbc1fb737567e3f687ea042b0f269bfb56f052cc72f03b9,B,False,False
obqa,11-744,C,0.00026285648345947266,1.3113021850585938e-06,33.17056596279144,0.0004109460860490799,33.02571107633412,e924f3b7dcaeca014dd9468643921486964e366437ba294d8dba1c315ddb96d0,C,False,False
obqa,12-428,R,0.0,1.3113021850585938e-06,33.13962696120143,0.00042119063436985016,33.00288901664317,4dbb703c49082eaff8f8ee573beac0431b6f37ce1bfbe5b31c0730d30e9ebe93,A,False,False
obqa,10-443,C,4.0531158447265625e-05,1.3113021850585938e-06,32.931953901425004,0.00038999132812023163,32.796496991068125,d264e2f3e5f1589fc9a6c42172433abada00de9c01cc5f549375e9cbb5979a4b,B,False,False
obqa,14-676,C,0.18638843297958374,1.3113021850585938e-06,33.470313996076584,0.00037997961044311523,33.30217604525387,fbc83ca81cb7898fb6d6ef821765c4fd1cf53314ac72287090142bc46680891e,A,False,False
obqa,14-129,C,0.0002611875534057617,1.3113021850585938e-06,33.05727103725076,0.0004209578037261963,32.92069211602211,6df42739dd68b56365ddc05f06df4eb3df4153640cfbe966e5773c2be37498a6,C,False,False
obqa,7-321,C,0.0002034306526184082,1.3113021850585938e-06,33.4097589366138,0.0004100147634744644,33.266107086092234,4a8ca98ac140db49fece838af9bf35b92b7e1eef52927aae041470b7910c10ce,C,False,False
obqa,13-462,C,4.6133995056152344e-05,1.3113021850585938e-06,33.16089790314436,0.0004300381988286972,32.998610055074096,e4cf3b8d9ccbc3cc90a9d08a7c9fa27aa60e8d3bf2c48104813fb74f93cf4c11,D,False,False
obqa,7-455,R,0.0,1.3113021850585938e-06,33.200893085449934,0.0005310866981744766,33.05050800554454,febd39fa7303b40f69dd872f6b5fb1ae94bb44bec553ace50eac88bdc920e232,A,False,False
obqa,10-677,C,0.00013184547424316406,1.3113021850585938e-06,33.41212309896946,0.00046100467443466187,33.26543606817722,cbeb5046ac60793530c3002b8984f9af0b9866069edb0027445b1a094d096569,D,False,False
obqa,13-944,C,0.00017893314361572266,1.3113021850585938e-06,33.086888026446104,0.0005310866981744766,32.937333919107914,ab442c631c60f2ff8fd22f3518fd7f12b086ddab151efb64947d7de856453609,C,False,False
obqa,14-1171,C,3.254413604736328e-05,1.3113021850585938e-06,33.10939995571971,0.0004600733518600464,32.97327202744782,17378718ba5dce653b245d7be79c9afd0f3a26be7459bc9f39e66c6e0bf9b764,A,False,False
obqa,10-973,R,0.0,1.3113021850585938e-06,33.768449211493134,0.0005208421498537064,33.62192097119987,0a0bca4ada222fd1e60bfb93d2edd114aa1d194a7dd2a4634e29da210271b316,C,False,False
obqa,14-109,C,0.00028270483016967773,1.3113021850585938e-06,33.40401710011065,0.0003809109330177307,33.25907397083938,d81b5c0742c86313783d60d7395c241a47bed0771b82cf49fe5fef9fff2edff2,A,False,False
obqa,13-42,C,0.2689446210861206,1.3113021850585938e-06,33.34860294125974,0.0003909226506948471,33.20163511671126,271ce2f892a2e0d7a5183a95d2bd9935cbfab6113ae6edafc6ef0916c3a4eced,B,False,False
obqa,10-702,C,0.001515507698059082,1.3113021850585938e-06,33.295934088528156,0.0004598405212163925,33.15563686192036,11975387e23ef0a82fd1c370770541a6cf0dba2a7453a1703a3cd59dee2c1240,A,False,False
