reference,id,panel_ordinal,group_hash,category,K,route,q,threshold,fixed_ms,policy_ms,saving_ms,fixed_correct,policy_correct,accuracy_difference,fixed_answer,policy_answer,gold,fixed_invalid,policy_invalid,online_probe_ms,selector_ms,first_formal_request_in_pair,fixed_key,policy_key
Text,test:3074,0,ad23be1e8a17387e82872a437640dbfa3e8992404f6a8e8a3c5436aa1336c461,biology,10,T,0.4,3.838539123535156e-05,1703.887416049838,1257.5711419340223,446.31627411581576,0,0,0,H,H,A,False,False,67.51463795080781,0.0006109476089477539,True,mmlu_pro|test:3074|fixed_T,mmlu_pro|test:3074|policy_T
Text,test:3502,1,23b909928d8c9c8e2451fb75a7c5b8ab70c6c24e32359d901196e202552c8212,biology,10,R,0.4,3.838539123535156e-05,816.4409250020981,252.35017808154225,564.0907469205558,1,1,0,D,D,D,False,False,44.797447975724936,0.00038999132812023163,False,mmlu_pro|test:3502|fixed_T,mmlu_pro|test:3502|policy_T
Text,test:3459,2,96454f3d066395ec82f04043235e3b8c3ebfc77629d90bf0b9b40c0a99ab411f,biology,10,R,0.4,3.838539123535156e-05,1306.7239988595247,264.23578313551843,1042.4882157240063,1,1,0,D,D,D,False,False,50.634626066312194,0.000341096892952919,False,mmlu_pro|test:3459|fixed_T,mmlu_pro|test:3459|policy_T
Text,test:2955,3,6c32b8fc57811ff1a13d49406dbc8d3d0fc95c3300417e21af4f9a01bf4c3651,biology,10,R,0.4,3.838539123535156e-05,1012.0173399336636,247.92286404408514,764.0944758895785,1,1,0,G,G,G,False,False,42.675466975197196,0.00029103830456733704,False,mmlu_pro|test:2955|fixed_T,mmlu_pro|test:2955|policy_T
Text,test:3232,4,3f32ee1b0c9f00bf7f5646d47af17cd024d7d66013d98c652443e9f389b2b78e,biology,10,R,0.4,3.838539123535156e-05,1042.9265180137008,246.76160607486963,796.1649119388312,1,1,0,G,G,G,False,False,42.93517395853996,0.00027101486921310425,False,mmlu_pro|test:3232|fixed_T,mmlu_pro|test:3232|policy_T
Text,test:3202,5,a90b82f34bf4b9b6e34906a71bdba60435df9e2754b3659d104e225abcbffa44,biology,10,R,0.4,3.838539123535156e-05,1308.2101859617978,229.5703599229455,1078.6398260388523,0,0,0,E,E,J,False,False,34.28256418555975,0.00023981556296348572,False,mmlu_pro|test:3202|fixed_T,mmlu_pro|test:3202|policy_T
Text,test:2979,6,87dfd1f1ce49b2832ca6a150cb13579fe104ba0881648c76bd2a2f42a00f394e,biology,10,R,0.4,3.838539123535156e-05,825.4675059579313,251.25519395805895,574.2123119998723,1,1,0,I,I,I,False,False,43.37226296775043,0.0003310851752758026,False,mmlu_pro|test:2979|fixed_T,mmlu_pro|test:2979|policy_T
Text,test:297,7,ee1a35b77a60d71db8dcc07ad3bf483b8b98d4f49638beaa918325da573eb6b8,business,10,T,0.4,3.838539123535156e-05,760.925553040579,775.7412828505039,-14.81572980992496,0,0,0,G,G,E,False,False,33.45091384835541,0.00030011869966983795,False,mmlu_pro|test:297|fixed_T,mmlu_pro|test:297|policy_T
Text,test:481,8,50d63723c9bd3083d00774dc0efe0aa664d734e9ed68f26ab1e6680ab1d02ddd,business,10,T,0.4,3.838539123535156e-05,883.4443339146674,918.8664560206234,-35.42212210595608,1,1,0,F,F,F,False,False,33.42542704194784,0.00029010698199272156,False,mmlu_pro|test:481|fixed_T,mmlu_pro|test:481|policy_T
Text,test:673,9,5ac6b01757fb71cb1845e552af126ec711c22f958702dbb71e9abf921af29694,business,10,T,0.4,3.838539123535156e-05,755.9516341425478,789.8812659550458,-33.92963181249797,0,0,0,F,F,H,False,False,33.823945093899965,0.00027008354663848877,False,mmlu_pro|test:673|fixed_T,mmlu_pro|test:673|policy_T
Text,test:205,10,dc8c276d4ae04ce05f71fddd13f91e423939fc0ff9b54dd3e4d3a487274dd566,business,10,T,0.4,3.838539123535156e-05,959.5823169220239,990.191661985591,-30.60934506356716,0,0,0,J,J,F,False,False,33.62854802981019,0.0002600718289613724,False,mmlu_pro|test:205|fixed_T,mmlu_pro|test:205|policy_T
Text,test:429,11,e890296dddc5df108a8b0469784e18bc3ee45291e05da0fc63b9e9be5cbcf903,business,9,T,0.4,3.838539123535156e-05,1190.9876291174442,1232.589101884514,-41.601472767069936,0,0,0,H,H,A,False,False,43.11401001177728,0.0002798624336719513,False,mmlu_pro|test:429|fixed_T,mmlu_pro|test:429|policy_T
Text,test:413,12,e674aeeb1293ef53503580a963d7510ae92013569cea1a03c61910c6390ef704,business,10,T,0.4,3.838539123535156e-05,917.1902420930564,947.996255941689,-30.806013848632574,1,1,0,B,B,B,False,False,33.604643074795604,0.0002998858690261841,False,mmlu_pro|test:413|fixed_T,mmlu_pro|test:413|policy_T
Text,test:289,13,6421bd1764b5af2917a0b9f397256dae657e8dfbc61145259f6e5c2f2a006f87,business,10,T,0.4,3.838539123535156e-05,773.3164939563721,816.5515118744224,-43.23501791805029,0,0,0,C,C,J,False,False,44.15930109098554,0.0002498272806406021,False,mmlu_pro|test:289|fixed_T,mmlu_pro|test:289|policy_T
Text,test:770,14,ec5708ddf7d8d0367b1cd79a077e12f79f323282edecc37aa8235f58d5f996f3,business,10,T,0.4,3.838539123535156e-05,1109.0637331362814,1147.506810957566,-38.44307782128453,0,0,0,H,H,A,False,False,33.85774791240692,0.00023096799850463867,False,mmlu_pro|test:770|fixed_T,mmlu_pro|test:770|policy_T
Text,test:402,15,718d1a28b71380bd9dbdaea7e4f733ae946c47c9eca2ec4e702a9b8417ced309,business,10,T,0.4,3.838539123535156e-05,1598.9794579800218,1649.6265269815922,-50.647069001570344,1,1,0,A,A,A,False,False,51.9559639506042,0.000341096892952919,False,mmlu_pro|test:402|fixed_T,mmlu_pro|test:402|policy_T
Text,test:4181,16,35a6cf0c7538e0cf30178a01375f7f8edd8a3896f06bd664624e58e986d26eb1,chemistry,10,R,0.4,3.838539123535156e-05,1104.3268870562315,280.67171201109886,823.6551750451326,1,1,0,D,D,D,False,False,43.75011404044926,0.00032014213502407074,False,mmlu_pro|test:4181|fixed_T,mmlu_pro|test:4181|policy_T
Text,test:3885,17,51439788d4cdf99aea7315f43dbe8a2a4990a4cbdde88bd950d19692d764fd44,chemistry,10,T,0.4,3.838539123535156e-05,1075.8690731599927,1126.494379946962,-50.625306786969304,1,1,0,G,G,G,False,False,49.90521795116365,0.00028102658689022064,False,mmlu_pro|test:3885|fixed_T,mmlu_pro|test:3885|policy_T
Text,test:3996,18,b06945813b8155c3aa6c5295ea69a6b1eec06c4f96d0dd38a1a87117779ed192,chemistry,10,T,0.4,3.838539123535156e-05,1329.324000980705,1374.3559459690005,-45.031944988295436,0,0,0,F,F,H,False,False,43.37271908298135,0.00027101486921310425,False,mmlu_pro|test:3996|fixed_T,mmlu_pro|test:3996|policy_T
Text,test:4133,19,a5b8faaaf8da69b885295ee2fc376d06a022df9b852d8e569abe2944b610930d,chemistry,4,R,0.4,3.838539123535156e-05,1020.8141761831939,260.1067789364606,760.7073972467333,1,1,0,D,D,D,False,False,33.41814503073692,0.0002600718289613724,False,mmlu_pro|test:4133|fixed_T,mmlu_pro|test:4133|policy_T
Text,test:4665,20,03d06a634bfb515ee1556ef724557d755037d30d292631d109a95755e95ce8f7,chemistry,10,T,0.4,3.838539123535156e-05,1031.7599619738758,1077.7455570641905,-45.985595090314746,0,0,0,J,J,I,False,False,34.16234301403165,0.00032014213502407074,False,mmlu_pro|test:4665|fixed_T,mmlu_pro|test:4665|policy_T
Text,test:4076,21,8fc48fa7799bbe613577b8f238909ed02f68b1867611180a4836f98f44e42228,chemistry,10,R,0.4,3.838539123535156e-05,1007.2133450303227,230.6561041623354,776.5572408679873,1,1,0,G,G,G,False,False,34.093013033270836,0.00030011869966983795,False,mmlu_pro|test:4076|fixed_T,mmlu_pro|test:4076|policy_T
