reference,id,key,online_probe_ms,selector_ms,saved_inner_probe_ms,ProbeMax,route,probe_shared
Text,test:3074,mmlu_pro|test:3074|policy_T,67.51463795080781,0.0006109476089477539,66.40467699617147,0.06711608171463013,T,False
Text,test:3502,mmlu_pro|test:3502|policy_T,44.797447975724936,0.00038999132812023163,44.66483788564801,0.0,R,False
Text,test:3459,mmlu_pro|test:3459|policy_T,50.634626066312194,0.000341096892952919,50.49604596570134,8.940696716308594e-07,R,False
Text,test:2955,mmlu_pro|test:2955|policy_T,42.675466975197196,0.00029103830456733704,42.558128014206886,0.0,R,False
Text,test:3232,mmlu_pro|test:3232|policy_T,42.93517395853996,0.00027101486921310425,42.79947909526527,0.0,R,False
Text,test:3202,mmlu_pro|test:3202|policy_T,34.28256418555975,0.00023981556296348572,34.167818957939744,2.384185791015625e-07,R,False
Text,test:2979,mmlu_pro|test:2979|policy_T,43.37226296775043,0.0003310851752758026,43.2188359554857,0.0,R,False
Text,test:297,mmlu_pro|test:297|policy_T,33.45091384835541,0.00030011869966983795,33.328133868053555,0.004070103168487549,T,False
Text,test:481,mmlu_pro|test:481|policy_T,33.42542704194784,0.00029010698199272156,33.30443985760212,0.21153700351715088,T,False
Text,test:673,mmlu_pro|test:673|policy_T,33.823945093899965,0.00027008354663848877,33.70592393912375,0.33292800188064575,T,False
Text,test:205,mmlu_pro|test:205|policy_T,33.62854802981019,0.0002600718289613724,33.508733147755265,0.00021535158157348633,T,False
Text,test:429,mmlu_pro|test:429|policy_T,43.11401001177728,0.0002798624336719513,42.97459893859923,0.5266059041023254,T,False
Text,test:413,mmlu_pro|test:413|policy_T,33.604643074795604,0.0002998858690261841,33.48352503962815,0.42420244216918945,T,False
Text,test:289,mmlu_pro|test:289|policy_T,44.15930109098554,0.0002498272806406021,44.03789318166673,0.3321601152420044,T,False
Text,test:770,mmlu_pro|test:770|policy_T,33.85774791240692,0.00023096799850463867,33.73800287954509,0.3296963572502136,T,False
Text,test:402,mmlu_pro|test:402|policy_T,51.9559639506042,0.000341096892952919,51.823746180161834,0.011001288890838623,T,False
Text,test:4181,mmlu_pro|test:4181|policy_T,43.75011404044926,0.00032014213502407074,43.58734795823693,3.993511199951172e-06,R,False
Text,test:3885,mmlu_pro|test:3885|policy_T,49.90521795116365,0.00028102658689022064,49.78114599362016,0.3478459119796753,T,False
Text,test:3996,mmlu_pro|test:3996|policy_T,43.37271908298135,0.00027101486921310425,43.24213392101228,0.07979828119277954,T,False
Text,test:4133,mmlu_pro|test:4133|policy_T,33.41814503073692,0.0002600718289613724,33.30357000231743,1.7881393432617188e-06,R,False
Text,test:4665,mmlu_pro|test:4665|policy_T,34.16234301403165,0.00032014213502407074,34.04017398133874,0.40429985523223877,T,False
Text,test:4076,mmlu_pro|test:4076|policy_T,34.093013033270836,0.00030011869966983795,33.96338899619877,2.9206275939941406e-06,R,False
Text,test:4073,mmlu_pro|test:4073|policy_T,44.85084512270987,0.0003098975867033005,44.71885692328215,0.004072725772857666,T,False
Text,test:4334,mmlu_pro|test:4334|policy_T,33.72424095869064,0.0002898741513490677,33.60885404981673,0.0,R,False
Text,test:3783,mmlu_pro|test:3783|policy_T,44.36068399809301,0.00028102658689022064,44.236890971660614,0.00013315677642822266,T,False
Text,test:3934,mmlu_pro|test:3934|policy_T,43.77734917216003,0.0002698507159948349,43.65493799559772,0.037475407123565674,T,False
Text,test:3957,mmlu_pro|test:3957|policy_T,44.163412880152464,0.00029103830456733704,44.04279706068337,0.18250805139541626,T,False
Text,test:4214,mmlu_pro|test:4214|policy_T,44.415474869310856,0.0003110617399215698,44.28924899548292,0.060448527336120605,T,False
Text,test:10489,mmlu_pro|test:10489|policy_T,33.63663703203201,0.0002898741513490677,33.518264070153236,9.638071060180664e-05,T,False
Text,test:10675,mmlu_pro|test:10675|policy_T,34.09599815495312,0.00026100315153598785,33.982004038989544,0.07798111438751221,T,False
Text,test:10373,mmlu_pro|test:10373|policy_T,42.66571393236518,0.00029010698199272156,42.54594910889864,2.282857894897461e-05,R,False
Text,test:10764,mmlu_pro|test:10764|policy_T,33.740300917997956,0.00032014213502407074,33.624833915382624,0.0,R,False
Text,test:6990,mmlu_pro|test:6990|policy_T,43.492293916642666,0.00029010698199272156,43.36941312067211,0.0,R,False
Text,test:7268,mmlu_pro|test:7268|policy_T,44.58882100880146,0.00031013041734695435,44.468554900959134,0.0009860992431640625,T,False
Text,test:6958,mmlu_pro|test:6958|policy_T,34.209680976346135,0.0002600718289613724,34.08963605761528,0.0031726956367492676,T,False
Text,test:7440,mmlu_pro|test:7440|policy_T,33.82109198719263,0.00028102658689022064,33.70613697916269,0.0,R,False
Text,test:7050,mmlu_pro|test:7050|policy_T,33.807135885581374,0.00026100315153598785,33.680879045277834,0.0,R,False
Text,test:7242,mmlu_pro|test:7242|policy_T,33.98777497932315,0.00024097971618175507,33.869161969050765,0.00037354230880737305,T,False
Text,test:7635,mmlu_pro|test:7635|policy_T,34.17717991396785,0.0002400483936071396,34.05633312650025,0.0,R,False
Text,test:7309,mmlu_pro|test:7309|policy_T,33.593554981052876,0.00026100315153598785,33.475172938779,0.2701861262321472,T,False
Text,test:7272,mmlu_pro|test:7272|policy_T,43.4130949433893,0.00029010698199272156,43.289412977173924,0.0004438161849975586,T,False
Text,test:11584,mmlu_pro|test:11584|policy_T,44.222463853657246,0.00032014213502407074,44.09820004366338,0.2710745334625244,T,False
Text,test:11872,mmlu_pro|test:11872|policy_T,34.604812040925026,0.0004209578037261963,34.47370603680611,1.1920928955078125e-07,R,False
Text,test:11446,mmlu_pro|test:11446|policy_T,67.77533399872482,0.0003608874976634979,67.63155502267182,0.0003905296325683594,T,False
Text,test:12100,mmlu_pro|test:12100|policy_T,50.92414794489741,0.00037997961044311523,50.77903508208692,0.07252311706542969,T,False
Text,test:11735,mmlu_pro|test:11735|policy_T,44.95697910897434,0.0002898741513490677,44.833005871623755,6.556510925292969e-07,R,False
Text,test:12076,mmlu_pro|test:12076|policy_T,34.59780989214778,0.00027008354663848877,34.47699313983321,0.43825405836105347,T,False
Text,test:12032,mmlu_pro|test:12032|policy_T,50.83714914508164,0.0002798624336719513,50.70631392300129,1.1920928955078125e-07,R,False
Text,test:11967,mmlu_pro|test:11967|policy_T,34.0338759124279,0.0003210734575986862,33.913851948454976,0.00023156404495239258,T,False
Text,test:11316,mmlu_pro|test:11316|policy_T,61.629315139725804,0.00032992102205753326,61.49192713201046,0.18293678760528564,T,False
Text,test:11631,mmlu_pro|test:11631|policy_T,50.059389090165496,0.00025099143385887146,49.930116860195994,1.9609928131103516e-05,R,False
Text,test:11977,mmlu_pro|test:11977|policy_T,44.838024070486426,0.00035087577998638153,44.71374093554914,0.43797773122787476,T,False
Text,test:6472,mmlu_pro|test:6472|policy_T,34.39665702171624,0.00027101486921310425,34.23486393876374,1.0132789611816406e-05,R,False
Text,test:6082,mmlu_pro|test:6082|policy_T,34.24472198821604,0.000341096892952919,34.073129994794726,1.430511474609375e-06,R,False
Text,test:6346,mmlu_pro|test:6346|policy_T,34.11406697705388,0.00026100315153598785,33.99498388171196,1.1920928955078125e-07,R,False
Text,test:6561,mmlu_pro|test:6561|policy_T,33.93623302690685,0.00033085234463214874,33.81725982762873,0.005378305912017822,T,False
Text,test:6557,mmlu_pro|test:6557|policy_T,42.97571210190654,0.00031990930438041687,42.85100707784295,0.0,R,False
Text,test:6446,mmlu_pro|test:6446|policy_T,43.292124988511205,0.0002300366759300232,43.1670299731195,0.00038236379623413086,T,False
Text,test:6394,mmlu_pro|test:6394|policy_T,34.27273407578468,0.00029103830456733704,34.131679916754365,0.0,R,False
Text,test:6608,mmlu_pro|test:6608|policy_T,43.309647124260664,0.00023981556296348572,43.18641615100205,9.715557098388672e-05,T,False
Text,test:4983,mmlu_pro|test:4983|policy_T,43.723393930122256,0.0003098975867033005,43.5943219345063,4.827976226806641e-06,R,False
Text,test:4746,mmlu_pro|test:4746|policy_T,63.12102312222123,0.0004409812390804291,62.973415944725275,0.0,R,False
Text,test:4980,mmlu_pro|test:4980|policy_T,51.89554509706795,0.00032992102205753326,51.75693496130407,0.010987639427185059,T,False
Text,test:4781,mmlu_pro|test:4781|policy_T,33.79703196696937,0.00031013041734695435,33.672848949208856,0.00026160478591918945,T,False
